Review,Sentiment,ReviewType,counter_value,frag_count
but i do like the upgrade from 3500 to 6000 mah.,3,0,251,0
battery life is good.,3,0,253,0
display is also very good.,3,0,253,1
camera is not as expected.,1,0,253,2
average gaming performance for 1-2.5 hour gaming.,2,0,253,3
speaker is not that good when gaming.,1,0,253,4
but with dolby atoms on earphones i think it's very good.,3,0,253,5
ui is very good.,3,0,253,6
only problem i faced is auto brightness  not detect the brightness faster and decreases the brightness while landscape gaming as pubg.,1,0,253,7
(otherwise i have been dead lol) he is very happy with the performance,3,0,255,1
it gets warm on the upper part of the screen.,2,2,257,1
suitable for parents with that massive battery.,2,1,257,2
microphone quality is good for calls.,3,0,257,3
the samsung ui has nice quirks and features.,3,0,257,4
awesome camera,4,0,259,0
great battery .. lasts 1.5 days for heavy and 2 days for general use.,3,0,259,1
display is amazing .. sampled,4,0,259,2
dolly atoms sound .. wonderful using good quality headphones.,4,0,259,3
battery :- 5/5,4,0,261,0
good battery performance.,3,0,261,1
2.display:- 4.99/5,4,0,261,2
display quality is excellent (super amalgam with full hd),4,0,261,3
although it has a 6000 mah battery bit still it is not bulky.,2,0,261,4
slim phone but no glass body,2,0,261,5
camera: 4.5/5,3,0,261,6
back camera pretty good but front camera's low light output is very low.. many features available such as slow and super slow videos available.,2,0,261,7
os & amp;ui:- 5/5,4,0,261,8
android 10 with one ui,2,4,261,9
6.finger print reader and face lock: - 3.5/5,2,0,261,10
face lock and finger print reader are not so fast.,1,0,261,11
7.processor and performance 4/5,3,0,261,12
no lagging and no hanging till now.,2,1,261,13
but still samsung can improve processor.,2,3,261,14
charging : 4/5 for fast charging.,3,0,261,15
provided with a 15 w charger and it takes about 3 hrs to fully recharge the phone,2,0,261,16
"no earphone , no back cover , no screenguard.",2,1,261,17
so order backcover and tempered glass when you placing order as its backbone is plastic and more prone to scratches.,2,1,261,18
samsung galaxy m1 is very handy and classic looking mobile and light weight as well even though having huge mah battery,3,0,263,0
"features like 48 mp excellent camera , super amoled display",3,0,263,1
"processor is also great ( you can play pubg , cod smoothly) though snapdragons processor is obviously better than exons for games.",3,0,263,3
i loved the display most.,3,0,263,4
fingerprint reader is fast no issues at all.,3,0,263,5
camera is far better than other mobiles in this price range and most attractive features is 'night mode'.,3,0,263,6
battery life is more than one and half day to 2 days depending on uses.,2,0,263,7
"only thing i didn't not like that with 6000mah battery samsung giving 15 watt charger , very strange thing.",1,0,263,8
"no other issues i noticed like lagging , heating etc.",2,0,263,9
so finally my conclusion is that if u are a normal user(not a gamer) and want a super amoled display,3,1,263,10
"best battery life ,",4,0,265,0
"camera quality ,",2,0,265,1
"awesome super amoled display ,",4,0,265,2
charging is quite fast even though it his15 fast charging.,3,0,265,3
battery is very very very poor,0,0,267,0
amazing display,4,0,269,0
great cameras for day light and ample artificial light photos,3,0,269,1
"great battery (even though it in't optimized yet , it's giving great backup)",3,0,269,2
good ram management,3,0,269,3
bad low light photos,1,0,269,4
display is very good.,4,0,271,0
touch screen awesome.,4,0,271,1
"camera also excellent , front and back.",4,0,271,2
lots of preloaded apps are there.,2,0,271,3
the only thing i felt slightly bad is about the battery.,1,0,271,4
it does not feel like 6000 mah.,1,0,271,5
the charging cable is short.,1,0,271,6
you cannon expect the performance it gives in price range of 13 k.,2,1,273,0
camera quality is excellent at 48 mp.,3,0,273,1
fingerprint reader is fast and it also has face unlock which works even in low light.,3,0,273,2
battery last more than 1.5 days with moderate usage.,2,0,273,3
the sampled screen is excellent with accurate colors and a very smooth touch.,3,0,273,4
i ordered one phone before lockdown in march and impressed by the performance i ordered second phone now.,3,0,273,5
great super amoled display.,3,0,275,0
smooth ui on android 10 latest version.,3,0,275,1
good camera with 20 mp front.,3,0,275,2
camera experience is above average.,3,0,275,3
slight heating near speaker grill when playing audio.,1,2,275,4
speaker quality is average.,2,0,275,5
fast finger print sensor and face unlock.,3,0,275,6
full charging took 2.5 hr at least.,2,0,275,7
battery last for 2 days for normal use.,2,0,275,8
screen on time about 10 hr on an average.,2,0,275,9
good processor and ram management.,3,0,275,10
use tampered glass and back cover to protect the phone.,2,1,275,11
samsung m1 is an amazing piece of accessory to be on hand while roam around .,3,0,277,0
"As it described, it is a monster with respect to battery.. Stared using for a week and charged 3 times even though I use my office email as well.",3,0,277,1
"To get the full battery charged, it takes almost 3 hours ..",2,0,277,2
The speed of the mobile /processor is excellent and no hanging.. Samsung Galaxy M21 smart phone has a Super AMOLED display which gives perfect viewing experience.,3,0,277,3
The camera is with 48 MP and gives quality pics with many inbuilt options.,2,0,277,4
Full screen option is amazing..,3,0,277,5
"amazing , excellent but camera quality for video is not so attractive as i think when i am buying this",2,0,279,0
android 10 and the most attractive as i like personal samsung one ui 2.0 makes this phone more attractive,3,0,279,1
the fingerprint reader is very fast as unlocks the phone very fast,3,0,279,2
the battery life is too good as it runs 2 days without charge,3,0,279,3
it can take up to a 2-2.5 hrs to charge a battery from 0 to 100 as it is carried out by a fast charging by fast charger of 15 watts,2,1,279,4
camera quality for photos is too good also i am sharing some pictures click by this phone but you have to compromise for video quality,3,0,279,5
display (10/10): awesome super-amoled display which provides great viewing experience.,4,0,281,0
"Battery life (10/10): Can easily last for 1.5-2 days even after moderate to heavy usage, also charges pretty fast (around 2 hrs) considering 6000 MW battery.",4,0,281,1
Speed (10/10): The UI is superb and I feel it is much better than other Chinese custom UIs.,4,0,281,2
"No unnecessary ads popped up,  unlike Realme or Xiaomi phones.",2,4,281,3
"Also, for regular usage I didn't see any lag.",2,0,281,4
Camera (9/10): I feel the camera quality is again much better that other phones available in the market at this price point.,3,0,281,5
It undoubtedly takes great photos during the day and even when there is adequate light around.,3,0,281,6
"However, the phone struggles to take great photos when there is low light, also no selfie flash.",1,0,281,7
"Build quality (9.5/10): Considering the massive battery, the phone is extremely lightweight.",3,0,281,8
Thanks to the plastic back body of course.,2,0,281,9
"No back cover or screeguard out of the box, so make sure you buy these along with the phone, as the plastic body is prone to scratches.",2,1,281,10
"For watching videos, clicking photos and regular usage, this phone gives a very tough competition in the market.",2,0,281,11
"As I study all phone in Covid-19 pandemic situation , samsung is best in the long term basis if you a game lover then go for high Ram and High processor",3,0,283,0
good battery life,3,0,285,0
pros : good battery back up,3,0,287,0
camera is up to mark specially night view and wide angle view,3,0,287,1
having a big battery dint felt like a heavy phone,2,0,287,2
speaker sound is good more than what we expect,3,0,287,3
dual apps available,2,0,287,4
viewing angles are great as we get super amoled screen,3,0,287,5
more charge time but i feel its worth it too,2,0,287,6
super amoled display,3,0,289,0
amoled display is amazing.,4,0,291,0
battery is amazing.,3,0,291,1
camera is good .,3,0,291,2
network reception is amazing .,4,0,291,4
call quality is good .,3,0,291,5
speaker is good.,3,0,291,6
i have recently used realme xt but that one also not feels expensive in your hand .,2,4,291,7
and ui is amazing like you will never get that feeling from any other chinese brand .,3,0,291,8
battery backup is not as expected from 6000 mah.,1,0,293,0
"also charging  is very slow , taking almost 6 hours to full charged ( without  any use ).",1,0,293,1
also heating problem during  phone call and charging.,1,2,293,2
indoor network is very poor as compared to my another mobile phone with same service provider.,1,0,293,3
"About  pro:- (1) camera in day lite condition was great (below 15k range,better than redmi note 9 pro) but in low light it needs to be improved.",2,0,295,0
(2) Battery is awesome .It provides approximately 1.5days in normal use.,3,0,295,1
"(3) Display  is awesome because it comes with super amoled panel , hence no other phone can beat in terms of quality below 15 I.",4,0,295,2
Cons(1) Charging is not great because it has 6000 monster battery  however it comes with only 15 watt Charger,1,0,295,3
Atleast it should have  provided 25 w Charging support.,2,3,295,4
"(2) Processer is ok but not compare with snapdragon720 g or mediatek g 90 t but for everyday use it can handle all day activities except playing heavy games like pubg , asphalt 8 etc.",2,0,295,5
the face reader takes time but the finger print reader is spot on.,2,0,297,0
the screen clarity is spot on and can read in bright sunlight without issues.,3,0,297,1
the digital wellness is also well taken care with various options built into the software.,3,0,297,2
"another good feature on the ui is the ability to turn down notifications to absolutely necessary apps , which is a big welcome.",3,0,297,3
i am able to use one hand for  for navigation which is exceptional for a screen this size.,3,0,297,4
processor (performance),2,4,299,1
battery,2,4,299,2
software,2,4,299,3
camera,2,4,299,6
battery,2,4,299,7
processor ( day to day usage ),2,4,299,8
user interface,2,4,299,9
I ordered Samsung M21 smartphone raven black with 6Gb ram and 128 Gb internal storage and i got it in 4 days in the lockdown situation.,2,4,299,10
"I got the device in the box along with 15w type c charger, papers etc",2,4,299,11
"Now, I become a fan of Samsung super amoled display you can compare it with any other mid-range smartphone display.",3,0,299,12
Processor performance with Samsung one ui 2 and super amoled display giving it a smooth and a premium feel.,3,0,299,13
day to day performance of this mobile is awesome.,4,0,299,14
"No doubt about the camera performance of the Samsung M21 smartphone, it click stunning pictures.",4,0,299,15
please do not waste your time in comparing camera samples of samsung m1 smartphone with the other smartphones.,2,1,299,16
Battery performance is also good it can last for one and half day OR one full day depend upon your usage.,3,0,299,17
I did not fully discharge my phone as per my usage so if you want to charge it from zero to a hundred maybe it would take 2 hours to charge.,2,1,299,19
Finger print sensor is also pretty responsive.,3,0,299,20
samsung hardware quality!,2,0,301,0
"Huge 6.4"" Super Amoled screen with &gt;92% screen ratio and 1080x2340 pixels resolution is awesome.",4,0,301,1
Colours and resolution is very good.,3,0,301,2
"48 MP camera comes with awesome features like slow motion, super slow motion, time lapse, portrait, food photography, night,  panorama, and pro mode.",3,0,301,3
Video quality is also awesome.,4,0,301,4
Front selfie camera is also excellent with self capture features by palm gesture.,4,0,301,5
"Front camera is also used for face recognition for unlocking the phone, which is again an excellent feature.",4,0,301,6
"Tripke camera have wide mode, depth mode and normal mode.",2,0,301,7
Battery: 6000 mAH Lithium Polymer battery gives a monsterous backup.,3,0,301,8
"Even though, if you use all the features of the phone, the battery will stay for the whole day long.",3,0,301,9
15 Watt quick charging enables you to quick charge the phone and use it for the day long.,2,0,301,10
"Processor, Storage and Ram: I've bought the 6GB 128GB version,  which has sufficient storage memory and RAM to copeup with your rigourous use, let it be games, videos or applications.",3,0,301,11
Samsung Exynos 9611 Octacore processor is superb.,3,0,301,12
Mali G72 MP3 GPU lets you play your favourite games with more fun!,3,0,301,13
Software: The Android 10 with One UI 2.0 is an excellent combination making the phone literally your virtual assistant.,4,0,301,14
Samsung Galaxy apps are added advantages apart from the hardware quality!,3,0,301,15
"Phone is light weight and slim, though long due to its screen size, bit its neccessary for a better viewing experience.",2,0,301,16
Loud speaker is good.,3,0,301,17
"Headphones support Dolby Atmos, and customizable sound profile to give you an amazing sound effect using headphones.",3,0,301,18
"Other features include USB Type C, A-GPS with Glonass and BDS, Fingerprint sensor, accelerometer, gyro, proximity, compass, dual 4G LTE standby (Good for Jio users!",2,0,301,19
"), Screen cast inbuilt and dual sim support with seperate memory card ecpansion slot with 512 GB card support.",2,0,301,20
No Earphones in the box (Samsung provides one of the best headphones).,2,0,301,21
"Though @Samsung says that headphones are user specific, but still I would say headphones must be included, as they are one of the best.",2,3,301,22
"The only thing I found after using it(although using it since 4 days only) is that it takes too much time to charge, battery support is 6000maH, which gives good backup, but it would be better with a 18watt charger.",1,3,303,0
amazing display,4,0,305,0
great battery power - very few phones have such large batteries of 6000 mah.,3,0,305,1
good performance owing to good processor,3,0,305,2
great camera - very good pics in low light as well.,3,0,305,4
video quality is also good - 4 k.,3,0,305,5
separate slot for memory card in addition to dual sim slots.,2,0,305,6
all required security options including face recognition.,2,0,305,7
"The screen clarity and resolution is exceptional, it's nowhere less than apple phones because Samsung manufactures displays for apple.",4,0,307,0
"So no compromise there, then the selling point of the phone is that massive 6000 mAh battery.",3,0,307,1
"In my daily use it gave me a full day plus some extra hours, I am a casual user playing pubg for 2-3 hrs, browsing a lot, media consumer and a photo enthusiast.",2,1,307,2
And this phone really gives a very good battery life.,3,0,307,3
"The cameras are good, in broad day light and room lighting the picture quality is quite good.",3,0,307,4
"Talking about the cons I saw a few lags sometimes while closing apps, it's not a huge problem but shouldn't have happened.",2,2,307,5
"Another thing is the small charger that Samsung provided, it literally takes almost 3 hrs to charge.",1,0,307,6
samsung m1 is a classy product with 6 gb ram and 128gb storage space at this affordable price range.,3,0,309,0
mobile can run without any lag or buffering.,3,0,309,1
the special feature to be mentioned is it's long working battery.,3,0,309,2
"once fully charged , it lasts for 2 days for me.",2,0,309,3
its 48 mb camera gives high clarity pictures almost similar to a dslr.,3,0,309,4
selfie camera is simply superb and it offers new features like emotions and super slows.,4,0,309,5
pubg and call of duty can be run in ultra settings.,2,0,309,6
it is accompanied by 18 w fastcharger which can charge within 1 hour.,2,0,309,7
the fingerprint sensor unlocks the mobile in no time.,3,0,309,8
i love samsung ui though it is very clean.,3,0,311,0
screen quality is awesome because samsung always provide super amoled display.,3,0,311,1
camera quality is also good and the night mode is quite stable comparison to other mid range phones.,3,0,311,2
battery life is awesome of course there is 6000 mah battery.,4,0,311,3
call quality is also nice and speakers have perfect sound.,3,0,311,4
7.fingerprint reader is also fast.,3,0,311,5
samsung should provide 18 w or 22 w charger.,2,3,311,6
battery charged to 100% in 2 hours and 45 minutes.,2,4,313,0
"camera , display",3,0,313,1
samsung has a clean ui with minimal bloatware.,3,0,315,2
and has 6000mah battery.,2,0,315,3
good phone under 15 k if you don't want chinese/ complicated ui.,3,0,315,4
"well , don't expect camera quality to be so high.",2,1,315,5
great battery (6000mah),3,0,315,6
amoled screen,2,4,315,7
new processor,2,4,315,8
wide-angle mode in-camera ( average result),2,0,315,9
polycarbonate body ( better than glass back as less wear & amp; tear more rugged),3,0,315,10
ram management ( too much ram consumption with just 4-5 external apps installed).,1,0,315,11
battery optimization is poor (with just 2 calls in a day,1,0,315,12
average camera.,2,0,315,16
good battery,3,0,317,0
2.excellent camera,4,0,317,1
3.perfect sampled display,3,0,317,2
5.good ram ( at this price),3,0,317,3
Battery is outstanding with 6000mah comes around 3 days life with normal use and charging takes around 2 hr 20 min to full charge.,4,0,319,0
"48MP camera is good but default camera settings 16:9 resolution pictures are better than 48mp pics, wide angle and bokeh affects are ok. Selfie camera is good as it feels like A71.",3,0,319,1
"Phone have super slow motion, slow motion, night mode and hyperlapse options well thats good addition for the price range.",2,0,319,2
"With good exynos processor no lag with using applications, its very smooth, games runs smoothly no lags at all.",3,0,319,3
It has video stabilization option by default and it has additional super study video option for better video recording.,2,0,319,4
Loudspeaker is ok ok may be after updates it can improve.,2,0,319,5
"Automatic brightness control or virtual light sensor is not ok....some times under normal light it will be overbright and in dark somes times it works well but all the time u should manually fix the brightness, may be this area should be fixed.",1,2,319,6
"Overall Android 10 with One UI 2, simply superb for the price range....simply go for it.",4,0,319,7
and the two things that give it an advantage over mrs is its selfie camera,3,0,321,0
it has huge 6000 mah battery which is really huge.,3,0,323,0
I am writing the review at 10 PM today with 40 % battery and I charged it yesterday 2 PM and I'm using it continuously.,2,0,323,1
It has 48 mega pixels camera but you can not get the same photo in other brands having 64 mega pixels camera.,3,0,323,2
no other brands have sampled display in this price so no one will have any doubt about its display.,3,0,323,3
"Fingerprint sensor, face recognition is really faster than others.",3,0,323,4
"The only one thing is disappointing me is fast charger is not as fast as it should be, but I have no complaint because is has huge battery so it will take some time.",2,0,323,5
1) Display: Just flawless.....the crisp and contrast in the colours......if u wannna binge webseries and movies....Just go for it!,4,0,325,0
3) Performance: Awesome....not such lag observed .....okaay I am not a gamer....played pubg for abt 1 hr at a stretch......in HD and HIGH...it was infact the recommended graphics by default...,3,0,325,1
No such lag and smooth performance....,3,0,325,2
5) Battery: DECENT but not EXCELLENT...u will get backup somewhat more than 5000mah.,2,0,325,4
"over-all build quality is good , camera as super.",3,0,327,0
battery capacity is high,2,0,327,1
gorilla glass 3 is there however gorilla glass 5 could have been used.,2,3,327,3
"screen quality is superb , auto brightness needs better adaptation.",2,3,327,4
you can find better usage of ai technology in this phone from audio adaptation to live transcription.,2,0,327,5
good performance.,3,0,329,0
planned to buy realme 6 pro but they increased price by 1000 rupees whereas m1 decreased price by 300 rupees.,2,4,329,2
display,3,0,331,0
"but to my delight , everything i.e build quality , camera , battery seems to be just awesome.",3,0,333,0
"battery is something that distinguishes it from others and with an average use , my battery lasts for 3 days.",2,0,333,1
fingerprint reader is fast.,3,0,335,0
camera quality is ok.,2,0,335,1
6000mah battery runs for a longer time on a single charge.,2,0,335,2
company should supply a pre applied screen guard and a tpu case in the box.,2,3,335,3
you have to buy screen guard & amp; a protective case separately.,2,1,335,4
"It's  an amazing phone and works really awesome, an amazing camera quality where you can click crystal clear pictures.",4,0,337,0
talking about the storage data i don't think anyone has to even worry about that.,3,0,337,1
You even have very secure finger print reader feature and you will discover a lot more if you purchase this phone cause I feel my words won't be enough to describe this awesomely amazing phone.,4,0,337,3
"Battery - I can give it 6 stars , battery is the best under 15k.",4,0,339,0
"Display - The best display ( AMOLED is AMOLED , which is thousand time better than ips lcd) under 15k",4,0,339,1
Processor - Its good processor exynos 9611 (better than snapdragon 712) not as good as g90t or snapdragon 720 but above average for daily use (exynos is more power efficient than snapdragon and mediatek),2,0,339,2
"UI - One UI 2.0 is very very good, power efficient.",4,0,339,3
"Camera - Its outstanding,  bettery than any phone under 15k.",4,0,339,4
"Charging time is also more (90% in 2hrs, 100% in 2.5 hours).",3,0,339,5
"Go for it if you are confused between redmi note 9, realme 6 , galaxy m21.",2,1,339,6
"it help  buyers to avoid from technical issues some amazing features of samsung galaxy m1 ( 6 gb ram , 128gb storage)are:",3,0,343,0
1.powerful 6000 mah battery,3,0,343,1
2.48 mp rear camera in triple camera set up,2,0,343,2
3.20 mp front camera,2,0,343,3
"5.high cpu speed(2.3 ghz , 1.7 ghz)",3,0,343,4
6.octa-core processor,2,0,343,5
rom size:128gb,2,0,343,6
os: android10,2,0,343,7
"sensors:accelerometer , fingerprint sensor , gyro sensor , geomagnetic sensor , proximity sensor , virtual light sensing",2,0,343,8
.the company remove the head phone which were provided  earlier in every handset.,2,1,343,9
well this phone is truly meant for all those who want a high performance phone for their daily purposes (not for heavy gaming).,2,0,345,0
"it has a very fast and accurate fingerprint sensor , an outstanding fhd+ amoled display",4,0,345,1
It can run the heavy games also as it has a brilliant processor but it's not meant for gaming.,3,0,345,5
"If u need a phone for decent gaming, extraordinary camera and an amazing display for movies and vdos, this is just for u.",4,0,345,6
seriously i am the one who only use high end phones but the performance i got from this phone is too good.,4,0,347,0
for battery it takes 2 hrs approximate time to get fully charged but gives you more than 8 hrs backup with 1-2 hrs pubg game play.,3,0,347,1
about pubg the phone provides very good performance and also does't heat if someone says so.,3,0,347,2
about body you'll see that most of tha youtuber says that it has boring looks and a plastic back but i don't agree with them.,3,0,347,3
and about screen one thing there is no competition for samsung when it comes to screen.,3,0,347,4
fingerprint reader- not even a second to unlock after your finger recognition,3,0,349,0
face unlock -this too is best $ best one just a second after the click of home button and it will take you directly to the home screen,4,0,349,1
battery life-absolutely it is 6000 mah so no need to talk about its performance .,2,0,349,2
i got my phone 29 percent charged and i used it continually more than a hour and still 5% was left,2,4,349,3
camera quality is also good in this price range,3,0,349,4
charger supports 15 w fast charging..it takes a hour for 100% charge,2,0,349,5
frustrated with so many ad and notifications  in my old mi phone and mi phone have many  pre-installed mi apps which is not required at all.,1,0,351,0
"this model is  best budget  phone , with good battery life",4,0,351,1
"box contains mobile device , charger , user manual , sim ejector.",2,0,353,0
phone manufacturers should give at least basic level headphones.,1,3,353,1
"class amoled screen , pictures",2,0,353,2
good camera quality.,3,0,353,4
smith screen touch.,2,0,353,5
gets heat up near the upper part of the screen from below the camera half of he screen.,1,2,353,6
"battery being 6000 mah need to charge twice a day , not a good battery backup.",1,0,353,7
"lags some time , response to the clicks half a second some time.",1,0,353,8
battery excellent.,4,0,355,0
camera good in day light,3,0,355,1
i can't zoom front camera,2,2,355,2
finger print started lagging  after 15 days,1,2,355,3
dolby atoms works only with headphone or bluetooth.,2,1,355,4
no ambient light so auto brightness  works slow.,1,0,355,5
overall good deal with good display.,3,0,355,6
phone manufacturers should give at least basic level headphones.,1,3,357,1
good camera quality.,3,0,357,4
the phone is really good and it never lags in everyday usage.,3,0,361,0
there is screen  flash in front camera and along,2,0,361,1
with split screen it also  has pop up view for multitasking.,2,0,361,2
the battery backup is amazing and the phone plays a lot of games without lag like nova legacy and asphalt nitro and sicily.,3,0,361,3
the charging time is adequate keeping in mind its massive 6000 mah battery.,2,0,361,4
the camera is really amazing and bixby vision along with a r emosi are great features that i loved.,4,0,361,5
one ui is the best and is completely ad free.,4,0,361,6
the dark mode is perfect and no words for the brilliant display quality,4,0,361,7
it has a better camera and i liked it very much,3,0,363,0
it has a good processor and i played the game pubg with it and it is an awesome experience for me,3,0,363,1
it has a monster battery of 6000mah and it is long lasting compared to my samsung a2 and samsung j.,3,0,363,2
its fingerprint scanner is much better than my other devices,3,0,363,3
when i use camera it gives me a wonderful experience,3,0,363,4
it surprises me when i take so-mo and super sow-mo videos,2,0,363,5
its video quality is amazing its 4 k video recording and super steady mode works much better than others,3,0,363,6
battery life - 8/10,3,0,365,0
processor- 7.5/10,3,0,365,1
screen quality 10/10,4,0,365,2
camera quality- 9/10,3,0,365,3
fingerprint scanner- 6.5/10,2,0,365,4
speaker- 8/10,3,0,365,5
ui- 9/10,3,0,365,6
overall for 15 k this phone is worth it (6 gb ram variant),3,0,367,0
"#performance : (pubg wise) , if you turn off optimisation and limit background processes to 1 at max(developer option) , you get almost 3-4 hrs lag free 45-50 fps gaming easily.",2,1,367,2
#CAMERA : I feel the processor works too hard for camera quality (software wise) to compensate the low quality camera module (hardware).#BATTERY : awesome no doubt.,2,0,367,5
#FINGERPRINT : way faster than in-display FR of upper mid spec phones.,3,0,367,6
"#ADVICE: Do not go for 4gb variant, 2 more gigs of ram (lpddr5) makes a lot of difference.",2,1,367,7
no screen guard or back cover along with box...,2,1,441,8
"pros- camera , display , battery , build quality(despite having a plastic back)",3,0,443,0
"cons- location of the speaker , samsung bloatware",1,0,443,1
overall - go for it blindly if you want a budget phone with a great camera,3,0,443,2
first of all i have to say the phone i received is not upto full charge,1,2,445,0
the battery charge was at 52%.,2,4,445,2
it's super amoled screen,3,0,447,0
and it's camera performance is also so good.,3,0,447,2
it is so light weight.,3,0,447,3
it's fingerprint sensor and face lock also good but not fastest (finger print),2,0,447,4
it's having good fast charge but not fastest but it's good.,3,0,447,5
"camera is nice, self is amazing portraits is good..",4,0,449,0
battery charging time is large (2.30 h) it stands for 2 to 3 days..,2,0,449,1
but there is some heating problem will charging and continuous usage...,1,2,449,2
the main problem is no headphone and case in this box...,1,0,449,3
"fingerprint scanner quality is much better than other, camera is good, allover that is value for money in this prize.",3,0,451,0
the phone has great battery life as expected.,3,0,453,0
i don't click photographs so the camera is alright for me.,2,0,453,1
the earphone jack and speakers could have been placed better because they giving me trouble while playing games.,1,0,453,2
the fingerprint reader does't register my whole fingertip so it gives me trouble unlocking the phone from certain angles.,1,2,453,3
"the charger given along this phone does't really ""fast charge"" though it might be a problem of my power socket.",2,2,453,4
very good performance in gaming and normal daily use.,4,0,455,0
"battery fast charging, last uptown 2.5 day's.",2,0,455,1
camera quality also awesome .,4,0,455,2
"display sampled best viewing experience, compare to other chinese brand.",3,0,455,3
i loved the look and feel and have taken pictures and videos.,3,0,457,0
battery lasts for 2 full days after a full charge even after extensive use of hotspot.,3,0,457,1
"one problem that i noticed is sometimes ( only once or twice it has occurred ) the sim is not detected, but that gets automatically fixed on restarting  the phone.",1,2,457,2
"superb dolby atoms sound, feather smooth touch, excellent screen, ui, 6 gb/128 gb ram/storage--means no legging operation and superb camera.",4,0,459,0
"fingerprint reader, battery, camera quality is decent for this price.",2,0,461,0
screen display quality is really good.,3,0,461,2
speaker is average.,2,0,461,3
"it's a feast to watch videos on that device as it has amoled panel and words are not enough to say that, you should experience it personally.",4,0,463,0
it has insane battery life.,4,0,463,1
"the best part of the phone is camera yes camera outstanding  performance  you can capture everything  in real frame i loved it ,even selfie camera gives you good performance  .",4,0,463,3
"1.super_amoled f-hd display (very bright colours  ), gives u flagship experience.",3,0,465,0
2.big 6000mah battery.,3,0,465,1
3.good camera.,3,0,465,2
"4.last but not least samsung's one ui, its actually good ui with loads of features.",3,0,465,3
"the only thing i don't like about this device is 15 w fast charging, this takes slightly more time to get the big battery charger.",1,0,465,4
"i got to notice that i had to charge it on daily basis even in below normal usage, initially i ignored it but it is persisted which compelled me give 2 star and write this review.",1,2,467,0
fast fingerprint sensor and face unlock it's unlock very fast truly.,3,0,469,1
3 best budget camera phone 48 megapixel and 20 megapixel give best pics.,4,0,469,2
6000 mh battery and long life.,3,0,469,3
full hd screen and smoothness.,3,0,469,4
it is quiet impressive to have a 6000mah battery at such a price segment with a good 15 w charger.,3,0,471,0
the into charger takes almost 2 hr and 30 mins to fully charge the phone which is the only cons.,1,0,471,1
"if the charging capacity was improved to charge such a monster battery, the phone could have been unbeatable.",3,3,471,2
the one ui experience+sampled+6000mah is like having a pancake with extra butter and honey.,3,0,471,3
awesome..only one to describe  this phone...battery life is good.. remains charged more than day  even if you charge it up to 90%..camera quality  is too good..my knowledge  about phone is mot much..but this phone is more then my expectations....so happy to buy this..definitely  anyone can buy it without  second  thought,4,0,473,0
first of all phone is very light in weight although having 6000 mah large battery.,3,0,475,0
display is very bright nd colors are so real.,3,0,475,1
both cameras are awesome.,4,0,475,2
interface is also very smooth like every samsung phone.,3,0,475,3
battery backup is superb full day video playback ability.,3,0,475,4
charging is very quick.,3,0,475,5
mobile do not  switch on  why  5 hours charging but not  turn on.,1,2,477,0
"super battery life that easily lasts 2 days, it has an excellent camera which is better than what we get in most budget phones.",4,0,479,0
the processor is also quite fast.,3,0,479,2
"the only thing that i don't like is the charging time, it normally take around 2.5-3.5 hours to completely charge from 0-100.",1,0,479,3
samsung should provide support for more than 15 watts fast charge for the massive battery of this phone.,2,3,479,4
"i bought this for my mother, considering samsung has a very easy to operate and user friendly ui.",2,4,483,0
fingerprint scanner,2,4,485,0
camera,2,4,485,1
"although you get a bit lower mp camera in this price range in india but samsung's various camera features like focus and quick analysis of type of photo taken, helps to take nice pics.",2,0,485,2
stability in the video is also amazing,3,0,485,3
battery life,2,4,485,4
well when you have such a high mah battery from samsung you can have no question at all,3,4,485,5
"battery  life : 1 day 6 hrs  ,  but  charging speed is petty slow for this monster battery.",1,0,487,0
charging time: 2 hrs 25 mins (0 to 100%) approx,2,0,487,1
camera: image processing is surprising in this budget range.,2,0,487,2
fingerprint scanner: it's not quick enough because of it's animation.,1,0,487,3
the sampled display give u a smooth experience  to ur eyes as well as saves battery.,3,0,489,0
with 6000mah battery im using it for almost 18+ hours  without charge which is an essential  feature for me.,2,0,489,1
camera display and battery really perform well,3,0,491,0
so u should spend more bucks to buy but after all its great u get excellent ui and ram management.,3,0,491,1
especially the 6000 mah battery and amoled display makes this phone worth.,3,0,493,0
"the only issue i noted is with the charging time which is almost 2.4 hrs, but considering the backup, its still negligible.",2,0,493,2
i felt like face id reads a lil slower in low light and finger print scanner works better.,1,0,493,3
camera quality is above average+,3,0,495,0
long battery life..i charged my phone after 48 hours of moderate usage.,3,0,495,1
sound and video quality is good....sound feels slightly slower side.,2,0,495,2
"my name is marchand sharma, who is in the pale district of rajasthan, i am buying a samsung phone 21, but its battery is not running, i have been trying to return it for 3 days but so far i am not getting any answer and nor is any policy in the show going on in this product, i am very nervous, please help me, my no.",1,2,497,0
i'm giving  1 star because  of poor battery  backup.,0,0,499,0
m1 is the best handset for me because its battery life is going 2 days on internet.,3,0,503,0
fingerprint sensor is excellent and also face unlock  (also best experience in night).,4,0,503,1
48 mp main camera is awesome clicking pictures in night also best.,4,0,503,2
i am playing pubg 4 hour continues but phone didn't heat.,3,0,503,3
screen experience is better than others phones.,3,0,503,4
charging is perfect with 15 watt charger.,3,0,503,5
it's take about 2.5 hour to fully charged.,2,0,503,6
the best part of this device is the display.. really vibrant and punchy colours with a lot of options for further configuration.,3,0,505,0
battery life is good.,3,0,505,1
